Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",-8.890000,13.843000,180.000000,top
"C2","47uF","CP_Elec_6.3x5.4",10.160000,1.524000,270.000000,top
"C3","47uF","CP_Elec_6.3x5.4",-10.160000,1.524000,270.000000,top
"C4","47uF","CP_Elec_6.3x5.4",0.000000,25.019000,0.000000,top
"C5","100nF","C_0402_1005Metric",8.890000,10.033000,180.000000,top
"C6","100nF","C_0402_1005Metric",-15.494000,-9.398000,270.000000,top
"C7","100nF","C_0402_1005Metric",-11.430000,13.843000,0.000000,top
"D1","B220A","D_SMA",-6.604000,-25.400000,0.000000,top
"D2","B220A","D_SMA",6.604000,-25.400000,0.000000,top
"G***","LOGO","logo_small_front_silk",11.938000,-6.604000,0.000000,top
"G***","LOGO","logo",10.033000,-10.160000,0.000000,top
"G***","LOGO","logo",8.128000,-9.652000,0.000000,top
"R1","4k7","R_0603_1608Metric",-9.271000,23.114000,0.000000,top
"R2","4k7","R_0603_1608Metric",-9.271000,26.162000,0.000000,top
"U2","UMW78L09-150","SOT-89-3",-10.160000,-9.652000,270.000000,top
"U3","MC78L33F-TP","SOT-89-3",-10.160000,10.160000,270.000000,top
