Comment,Designator,Footprint,LCSC
"100nF","C1,C5,C6,C7","Capacitor_SMD:C_0402_1005Metric",""
"47uF","C2,C3,C4","Capacitor_SMD:CP_Elec_6.3x5.4",""
"B220A","D1,D2","Diode_SMD:D_SMA",""
"+12","J1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"B-","J10","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm",""
"FTDI serial","J11","Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",""
"I2C bus","J12","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",""
"Various Voltages","J13","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Main PCB Interfacing","J14","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"Vthru","J2","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"L-","J4","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"R+","J5","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"T+","J7","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm",""
"T-","J8","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm",""
"B+","J9","TestPoint:TestPoint_THTPad_4.0x4.0mm_Drill2.0mm",""
"4k7","R1,R2","Resistor_SMD:R_0603_1608Metric",""
"78L05","U1","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"UMW78L09-150","U2","Package_TO_SOT_SMD:SOT-89-3",""
"MC78L33F-TP","U3","Package_TO_SOT_SMD:SOT-89-3",""
